MPN,Designator,Package,Quantity,Unit Price,Price(Ext.),LCSC Link
SL2.1A,U1,SOP-16,5,0.2677,1.34,https://www.lcsc.com/product-detail/C6798314.html
10.0 QHHTZB6.3,J1,SMD,10,0.0665,0.67,https://www.lcsc.com/product-detail/C668591.html
676430910,"J2,J3,J4,J5","Through Hole,Right Angle",4,0.9415,3.77,https://www.lcsc.com/product-detail/C2798029.html
1206L200/24NR,F1,1206,5,0.1404,0.7,https://www.lcsc.com/product-detail/C42396578.html
1206L005/110WR,"F2,F3,F4,F5",1206,5,0.1387,0.69,https://www.lcsc.com/product-detail/C46422913.html
PRTR5V0U2X-ES,"D1,D2,D3,D4,D5",SOT-143,5,0.0404,0.2,https://www.lcsc.com/product-detail/C5180302.html
X32258MOB4SI,Y1,SMD3225-4P,5,0.1738,0.87,https://www.lcsc.com/product-detail/C2682775.html
RC0603FR-075K1L,"R1,R2",0603,100,0.0018,0.18,https://www.lcsc.com/product-detail/C105580.html
CL10A106KP8NNNC,"C1,C2,C3,C4,C5,C6",0603,20,0.0108,0.22,https://www.lcsc.com/product-detail/C19702.html
CC0402JRNPO9BN220,"C7,C8",0402,100,0.0012,0.12,https://www.lcsc.com/product-detail/C106203.html
JLCPCB(PCB+shipping),-,-,5,4.66,14,jlcpcb.com
Total,-,-,-,-,22.46,-
